pip install -r requirements.txttipo,nombre_contagram,alias_banco,cuit,id_contagram,banco_principal,monto_mensual
Cliente,PRITTY,MERPAG*PRITTY,27-35346247-5,1000,mercadopago,97313040.0
Cliente,RPB S.A,MP*RPB S.A,20-79911838-4,1001,mercadopago,67715109.0
Cliente,BONPRIX,MERPAG*BONPRIX,27-13542784-9,1002,mercadopago,58046939.4
Cliente,NPJ,MERCPAGO*NPJ,33-41241182-4,1003,mercadopago,20442779.98
Cliente,DRICKA,MERPAGO DRICKA,33-35348740-1,1004,mercadopago,19700634.81
Cliente,CHILLI STREET CLUB,TRANSF CHILLI STREET CLUB,27-00524278-6,1005,galicia,16346616.96
Cliente,Belgrano Bebidas S.R.L,TRF CR BELGRANO BEBIDAS S.R.L,20-12805982-6,1006,galicia,15574183.33
Cliente,FRUTA CERRO,CR TRANSF FRUTA CERRO,20-45053315-8,1007,santander,10746656.5
Cliente,E24,TRF CR E24,33-23226025-6,1008,galicia,10187924.99
Cliente,POINT (EX KUARTETO CLUB),ACRED.TRANSF POINT (EX KUARTETO CLUB),27-21607337-5,1009,galicia,9968073.24
Cliente,ROASIO RIO CUARTO,CR.TRANSF ROASIO RIO CUARTO,23-30365414-5,1010,galicia,8906126.66
Cliente,ROSARIO,CR.TRANSF ROSARIO,33-50142940-1,1011,galicia,8166090.73
Cliente,CREEK HOUSE CLUB,TRANSF CREEK HOUSE CLUB,27-56981693-4,1012,galicia,8133924.42
Cliente,CLUB PARAGUAY,ACRED TRANSF CLUB PARAGUAY,30-08835615-9,1013,santander,7672779.61
Cliente,EL CUARTITO,TRF CR EL CUARTITO,20-48465648-2,1014,galicia,7312416.5
Cliente,DISTRIBUIDORA SUR.,MERCPAGO*DISTRIBUIDORA SUR.,30-62994680-4,1015,mercadopago,7117920.0
Cliente,TUTE MORTERO,MERPAGO TUTE MORTERO,23-69957773-8,1016,mercadopago,5171520.2
Cliente,IMPERIO VINOTECA,TRF CR IMPERIO VINOTECA,23-14895134-3,1017,galicia,4659910.87
Cliente,CARAVANA - RIO CUARTO,MP*CARAVANA - RIO CUART,23-00379176-9,1018,mercadopago,4084467.01
Cliente,JANGADERO EX SHADDY,MERPAGO JANGADERO EX SHADDY,30-76320163-2,1019,mercadopago,3786926.63
Cliente,MOSCU,ACRED.TRANSF MOSCU,20-83172788-9,1020,galicia,3783415.44
Cliente,ALMACEN 1810,TRF CR ALMACEN 1810,30-98687277-4,1021,galicia,3603152.67
Cliente,bamboo eventos,MERCPAGO*BAMBOO EVENTOS,27-87347143-4,1022,mercadopago,3497876.69
